,gmap_id,name,address,latitude,longitude,num_of_reviews,avg_rating,cluster,city,Ciudad,cluster_categories,positive_sentiment,negative_sentiment
0,0x80c2c778e3b73d33:0xbdc58662a4a97d49,San Soo Dang,"San Soo Dang, 761 S Vermont Ave, Los Angeles, CA 90005",34.0580917,-118.2921295,18,4.4,0,Koreatown,Los Angeles,Korean restaurant,4,0
1,0x80dd2b4c8555edb7:0xfc33d65c4bdbef42,Vons Chicken,"Vons Chicken, 12740 La Mirada Blvd, La Mirada, CA 90638",33.9164023,-118.010855,18,4.5,3,La Mirada,La Mirada,Restaurant,4,0
2,0x80c2d765f8c90a3d:0x16afb75943e7ad50,Cowboy Burgers & BBQ,"Cowboy Burgers & BBQ, 13101 Ramona Blvd, Baldwin Park, CA 91706",34.0799951,-117.9889514,38,3.7,7,Baldwin Park,Baldwin Park,Hamburger restaurant,8,4
3,0x80c2c7a94ac69057:0x8d810f2561e0a3cd,The Plant Power Truck,"The Plant Power Truck, 1601 Sunset Blvd, Los Angeles, CA 90026",34.077283,-118.257719,8,4.9,3,Echo Park,Los Angeles,Restaurant,2,2
4,0x80c331f0c314eff3:0xe697c3eff85c3314,WaBa Grill,"WaBa Grill, 2209 E Baseline Rd Ste 600, Claremont, CA 91711",34.1227908,-117.6934573,25,3.3,11,Claremont,Claremont,Asian restaurant,2,4
5,0x80c2c7049ff0132d:0xf598d3badb3f6dc,Tacos El Comelon (Food Truck),"Tacos El Comelon (Food Truck), 901 S Hill St, Los Angeles, CA 90015",34.0430606,-118.2573896,18,5.0,3,Los Angeles,Los Angeles,Restaurant,2,2
6,0x80c2c7726b53b8e5:0xad288d11654f5e48,PIZZA ROW RECORDS,"PIZZA ROW RECORDS, 433 E 7th St, Los Angeles, CA 90014",34.0414061,-118.2474772,34,4.3,2,Los Angeles,Los Angeles,Pizza restaurant,2,0
7,0x80c2c798ad41d859:0x8823cd86d2abd5b3,La Superior Panaderia,"La Superior Panaderia, 2001 W 8th St, Los Angeles, CA 90057",34.0545417,-118.2767675,30,4.3,4,Koreatown,Los Angeles,Mexican restaurant,8,2
8,0x80c2d4c17351e5d5:0x25ec6df3990c5322,Taco Shack,"Taco Shack, 15856 Whittier Blvd, Whittier, CA 90603",33.943177,-117.990859,18,4.0,19,La Mirada,Whittier,Latin American restaurant,6,2
9,0x80c2dafa5c9a7b11:0x80ffb66da68a81a9,Denny's,"Denny's, 5603 Rosemead Blvd, Temple City, CA 91780",34.1015886,-118.0740459,58,4.0,21,Temple City,Temple City,Breakfast restaurant,6,8
10,0x80e82795a4c98179:0xf4b71863f4dbdf15,21 Biryani Pots,"21 Biryani Pots, 5639 Kanan Rd, Agoura Hills, CA 91301",34.1527736,-118.759376,33,4.6,32,Agoura Hills,Agoura Hills,Indian restaurant,8,0
11,0x80c2bed4c0875335:0x88562e8d30e3d33d,Kawaba Rice Ball,"Kawaba Rice Ball, 7368 Melrose Ave, Los Angeles, CA 90046",34.0833736,-118.3505281,18,4.2,1,West Hollywood,Los Angeles,Fast food restaurant,10,0
12,0x80c2d113d9850493:0xcb2e3a3f99e88dd8,Giant Union Co Inc,"Giant Union Co Inc, 9950 Mission Mill Rd, Whittier, CA 90601",34.018457999999995,-118.0498916,8,4.0,10,South El Monte,Whittier,Pizza restaurant,2,4
